,sale_date,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
8766,201503,103507,17,831,2,1,3,3,6,AT,2.0,L,10-15W,-,3,1,1,3,2,1,118.0,4,192,4270,1780,1630,1930,1510,5,2590,1557,1570
13743,201503,103507,35,831,2,1,3,3,6,AT,1.6,L,10-15W,-,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
6190,201503,103507,6,831,2,1,3,3,7,DCT,1.6,T,10-15W,-,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
5465,201504,103507,174,831,2,1,3,3,6,AT,1.6,L,10-15W,13.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
12112,201504,103507,6,831,2,1,3,3,6,AT,2.0,L,10-15W,13.9,1,1,1,1,2,1,118.0,4,192,4270,1780,1630,1860,1425,5,2590,1557,1570
6470,201504,103507,6,831,2,1,3,3,6,MT,1.6,L,10-15W,13.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
14425,201504,103507,17,831,2,1,3,3,6,MT,1.6,L,10-15W,13.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
7399,201504,103507,12,831,2,1,3,3,7,DCT,1.6,T,10-15W,13.9,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
15196,201504,103507,17,831,2,1,3,3,6,AT,1.6,L,10-15W,13.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5,2590,1557,1570
13820,201505,103507,29,831,2,1,3,3,7,DCT,1.6,T,10-15W,15.7,1,1,1,3,2,1,117.7,4,250,4270,1780,1630,1880,1426,5,2590,1557,1570
