sale_date,class_id,sale_quantity
201503,103507,58
201504,103507,232
201505,103507,226
201506,103507,286
201507,103507,297
201508,103507,355
201509,103507,442
201510,103507,1050
201511,103507,481
201512,103507,1433
201601,103507,993
201602,103507,953
201603,103507,650
201604,103507,145
201605,103507,772
201606,103507,829
201607,103507,378
201608,103507,406
201609,103507,684
201610,103507,632
201611,103507,876
201612,103507,1653
201701,103507,499
201702,103507,435
201703,103507,371
201704,103507,290
201705,103507,429
201706,103507,371
201707,103507,313
201708,103507,180
201709,103507,186
201710,103507,180
201405,124140,15
201406,124140,83
201407,124140,195
201408,124140,113
201409,124140,174
201410,124140,225
201411,124140,263
201412,124140,248
201501,124140,286
201502,124140,294
201503,124140,233
201504,124140,233
201505,124140,338
201506,124140,309
201507,124140,346
201508,124140,316
201509,124140,376
201510,124140,241
201511,124140,271
201512,124140,324
201601,124140,459
201602,124140,354
201603,124140,248
201604,124140,324
201605,124140,263
201606,124140,143
201607,124140,211
201608,124140,406
201609,124140,331
201610,124140,293
201611,124140,301
201612,124140,526
201701,124140,316
201702,124140,203
201703,124140,210
201704,124140,218
201705,124140,263
201706,124140,256
201707,124140,255
201708,124140,226
201709,124140,285
201710,124140,263
201201,125403,90
201202,125403,156
201203,125403,91
201204,125403,74
201205,125403,130
201206,125403,164
201207,125403,188
201208,125403,131
201209,125403,124
201210,125403,107
201211,125403,147
201212,125403,123
201301,125403,238
201302,125403,90
201303,125403,156
201304,125403,139
201305,125403,230
201306,125403,131
201307,125403,246
201308,125403,155
201309,125403,172
201310,125403,114
201311,125403,222
201312,125403,99
201401,125403,164
201402,125403,89
201403,125403,156
201404,125403,230
201405,125403,65
201406,125403,106
201407,125403,222
201408,125403,147
201409,125403,139
201410,125403,98
201411,125403,188
201412,125403,164
201501,125403,147
201502,125403,115
201503,125403,140
201504,125403,270
201505,125403,90
201506,125403,164
201507,125403,213
201508,125403,213
201509,125403,197
201510,125403,115
201511,125403,148
201512,125403,213
201601,125403,156
201602,125403,115
201603,125403,197
201604,125403,361
201605,125403,156
201606,125403,132
201607,125403,172
201608,125403,197
201609,125403,247
201610,125403,99
201611,125403,131
201612,125403,182
201701,125403,172
201702,125403,131
201703,125403,360
201704,125403,327
201705,125403,279
201706,125403,343
201707,125403,418
201708,125403,311
201709,125403,328
201710,125403,156
201201,136916,665
201202,136916,351
201203,136916,274
201204,136916,231
201205,136916,375
201206,136916,410
201207,136916,537
201208,136916,462
201209,136916,366
201210,136916,477
201211,136916,206
201212,136916,358
201301,136916,613
201302,136916,214
201303,136916,341
201304,136916,317
201305,136916,546
201306,136916,349
201307,136916,452
201308,136916,478
201309,136916,715
201310,136916,546
201311,136916,452
201312,136916,392
201401,136916,639
201402,136916,307
201403,136916,189
201404,136916,257
201405,136916,233
201406,136916,300
201407,136916,334
201408,136916,324
201409,136916,377
201410,136916,307
201411,136916,256
201412,136916,249
201501,136916,444
201502,136916,283
201503,136916,282
201504,136916,291
201505,136916,179
201506,136916,300
201507,136916,264
201508,136916,342
201509,136916,315
201510,136916,239
201511,136916,247
201512,136916,290
201601,136916,256
201602,136916,120
201603,136916,256
201604,136916,299
201605,136916,248
201606,136916,247
201607,136916,290
201608,136916,188
201609,136916,171
201610,136916,180
201611,136916,213
201612,136916,256
201701,136916,213
201702,136916,196
201703,136916,213
201704,136916,137
201705,136916,162
201706,136916,179
201707,136916,162
201708,136916,179
201709,136916,145
201710,136916,162
201706,169673,67
201707,169673,57
201708,169673,86
201709,169673,219
201710,169673,152
201212,175962,8
201301,175962,63
201302,175962,64
201303,175962,126
201304,175962,237
201305,175962,229
201306,175962,206
201307,175962,269
201308,175962,356
201309,175962,387
201310,175962,340
201311,175962,513
201312,175962,316
201401,175962,680
201402,175962,435
201403,175962,562
201404,175962,522
201405,175962,474
201406,175962,380
201407,175962,482
201408,175962,459
201409,175962,594
201410,175962,657
201411,175962,442
201412,175962,1627
201501,175962,727
201502,175962,450
201503,175962,356
201504,175962,371
201505,175962,364
201506,175962,254
201507,175962,387
201508,175962,309
201509,175962,348
201510,175962,411
201511,175962,269
201512,175962,222
201601,175962,302
201602,175962,214
201603,175962,372
201604,175962,593
201605,175962,214
201606,175962,221
201607,175962,269
201608,175962,134
201609,175962,151
201610,175962,269
201611,175962,411
201612,175962,633
201701,175962,396
201702,175962,151
201703,175962,301
201704,175962,134
201705,175962,167
201706,175962,143
201707,175962,119
201708,175962,103
201709,175962,214
201710,175962,237
201201,178529,1739
201202,178529,1493
201203,178529,1248
201204,178529,895
201205,178529,918
201206,178529,683
201207,178529,873
201208,178529,644
201209,178529,694
201210,178529,742
201211,178529,872
201212,178529,639
201301,178529,1465
201302,178529,943
201303,178529,999
201304,178529,781
201305,178529,907
201306,178529,684
201307,178529,759
201308,178529,644
201309,178529,958
201310,178529,884
201311,178529,730
201312,178529,587
201401,178529,1567
201402,178529,975
201403,178529,872
201404,178529,632
201405,178529,513
201406,178529,456
201407,178529,314
201408,178529,359
201409,178529,525
201410,178529,491
201411,178529,513
201412,178529,616
201501,178529,924
201502,178529,634
201503,178529,655
201504,178529,508
201505,178529,496
201506,178529,320
201507,178529,319
201508,178529,274
201509,178529,537
201510,178529,479
201511,178529,399
201512,178529,508
201601,178529,393
201602,178529,531
201603,178529,296
201604,178529,200
201605,178529,239
201606,178529,229
201607,178529,166
201608,178529,194
201609,178529,200
201610,178529,223
201611,178529,222
201612,178529,387
201701,178529,182
201702,178529,451
201703,178529,331
201704,178529,331
201705,178529,188
201706,178529,177
201707,178529,177
201708,178529,108
201709,178529,165
201710,178529,148
201602,186250,25
201603,186250,17
201604,186250,42
201605,186250,100
201606,186250,125
201607,186250,108
201608,186250,100
201609,186250,208
201610,186250,224
201611,186250,274
201612,186250,332
201701,186250,125
201702,186250,133
201703,186250,158
201704,186250,116
201705,186250,174
201706,186250,42
201707,186250,125
201708,186250,108
201709,186250,83
201710,186250,83
201709,194201,239
201710,194201,378
201201,194450,65
201202,194450,59
201203,194450,30
201204,194450,18
201205,194450,59
201206,194450,36
201207,194450,36
201208,194450,24
201209,194450,42
201210,194450,42
201211,194450,95
201212,194450,65
201301,194450,106
201302,194450,77
201303,194450,65
201304,194450,48
201305,194450,77
201306,194450,42
201307,194450,54
201308,194450,24
201309,194450,36
201310,194450,30
201311,194450,30
201312,194450,30
201401,194450,71
201402,194450,30
201403,194450,47
201404,194450,36
201405,194450,36
201406,194450,41
201407,194450,36
201408,194450,18
201409,194450,65
201410,194450,36
201411,194450,24
201412,194450,36
201501,194450,30
201502,194450,65
201503,194450,36
201504,194450,12
201505,194450,12
201506,194450,12
201507,194450,6
201509,194450,54
201510,194450,131
201511,194450,178
201512,194450,130
201601,194450,237
201602,194450,125
201603,194450,148
201604,194450,230
201605,194450,148
201606,194450,166
201607,194450,225
201608,194450,324
201609,194450,348
201610,194450,242
201611,194450,319
201612,194450,561
201701,194450,201
201702,194450,165
201703,194450,153
201704,194450,218
201705,194450,195
201706,194450,159
201707,194450,325
201708,194450,189
201709,194450,307
201710,194450,271
201201,198427,47
201202,198427,21
201203,198427,10
201204,198427,10
201205,198427,10
201207,198427,21
201210,198427,5
